3.2041	-0.0172882
3.2048	-0.0172949
3.2054	-0.0173008
3.2064	-0.0173105
3.2067	-0.0173134
3.2093	-0.0173386
3.2096	-0.0173416
3.2106	-0.0173513
3.2112	-0.0173571
3.2119	-0.0173639
3.2128	-0.0173727
3.2132	-0.0173765
3.2144	-0.0173882
3.2145	-0.0173892
3.2158	-0.0174018
3.2171	-0.0174145
3.2176	-0.0174193
3.2184	-0.0174271
3.2192	-0.0174349
3.2197	-0.0174397
3.2208	-0.0174504
3.2223	-0.017465
3.2224	-0.017466
3.2236	-0.0174777
3.2249	-0.0174903
3.2256	-0.0174971
3.2262	-0.017503
3.2272	-0.0175127
3.2275	-0.0175156
3.2288	-0.0175283
3.2301	-0.017541
3.2304	-0.0175439
3.2314	-0.0175536
3.2327	-0.0175663
3.2336	-0.0175751
3.2352	-0.0175906
3.2353	-0.0175916
3.2366	-0.0176043
3.2368	-0.0176062
3.2379	-0.017617
3.2384	-0.0176218
3.2392	-0.0176296
3.2405	-0.0176423
3.2416	-0.017653
3.2418	-0.017655
3.2431	-0.0176677
3.2432	-0.0176686
3.2444	-0.0176803
3.2448	-0.0176842
3.2457	-0.017693
3.2464	-0.0176998
3.2483	-0.0177184
3.2496	-0.0177311
3.2509	-0.0177438
3.2512	-0.0177467
3.2522	-0.0177565
3.2528	-0.0177623
3.2535	-0.0177691
3.2544	-0.0177779
3.2548	-0.0177818
3.2561	-0.0177945
3.2574	-0.0178072
3.2576	-0.0178092
3.2587	-0.0178199
3.2592	-0.0178248
3.2608	-0.0178404
3.2613	-0.0178453
3.2624	-0.0178561
3.2626	-0.017858
3.2639	-0.0178707
3.2652	-0.0178834
3.2656	-0.0178874
3.2665	-0.0178962
3.2672	-0.017903
3.2678	-0.0179089
3.2688	-0.0179186
3.2691	-0.0179216
3.2704	-0.0179343
3.2717	-0.017947
3.2736	-0.0179656
3.2743	-0.0179724
3.2752	-0.0179812
3.2756	-0.0179852
3.2768	-0.0179969
3.2769	-0.0179979
3.2782	-0.0180106
3.2784	-0.0180126
3.2795	-0.0180233
